file	bytes	crc32c	md5	components	generation	updated_utc
README.md	18401	bzaEyQ==	5zYm+34zEwvN9kUaaXWGDw==	1	1787626329935992	2026-08-25T02:52:09Z
gwas_AAC_AD_ampad_vs_control_ampad.filtered.tsv	686787249	PbnopA==	—	14	1787626301094762	2026-08-25T02:51:41Z
gwas_AAC_AD_vs_control.filtered.tsv	696819506	QEIfTQ==	—	14	1787626303111798	2026-08-25T02:51:43Z
gwas_AAC_AD_vs_other.filtered.tsv	699102717	65c95w==	—	14	1787626303149909	2026-08-25T02:51:43Z
gwas_AAC_PD_amppd_vs_control_amppd.filtered.tsv	678303714	7lrYxQ==	—	14	1787626323317143	2026-08-25T02:52:03Z
gwas_AAC_PD_vs_AD.filtered.tsv	688176532	z3gnuw==	—	14	1787626322390484	2026-08-25T02:52:02Z
gwas_AAC_PD_vs_control.filtered.tsv	700439479	ykyrzQ==	—	15	1787626321349062	2026-08-25T02:52:01Z
gwas_AAC_PD_vs_other.filtered.tsv	677037657	aSgCUw==	—	14	1787626321660328	2026-08-25T02:52:01Z
gwas_AAC_control_amppd_vs_control_ampad.filtered.tsv	677157193	tsNfFg==	—	14	1787626303343168	2026-08-25T02:51:43Z
gwas_AFR_AD_ampad_vs_control_ampad.filtered.tsv	727951166	g90vsg==	—	15	1787626307015966	2026-08-25T02:51:47Z
gwas_AFR_AD_vs_control.filtered.tsv	728237291	BfCAuA==	—	15	1787626318819885	2026-08-25T02:51:58Z
gwas_AFR_AD_vs_other.filtered.tsv	724985553	gawwlw==	—	15	1787626321008649	2026-08-25T02:52:01Z
gwas_AFR_control_amppd_vs_control_ampad.filtered.tsv	729898431	KPK5ZQ==	—	15	1787626320628325	2026-08-25T02:52:00Z
gwas_AJ_AD_ampad_vs_control_ampad.filtered.tsv	520165785	9G04iw==	—	11	1787626320808043	2026-08-25T02:52:00Z
gwas_AJ_AD_vs_DLB.filtered.tsv	104039732	LVQIhw==	Ob0YMTvZyKLjER6jmIs/Iw==	1	1787626317630813	2026-08-25T02:51:57Z
gwas_AJ_AD_vs_control.filtered.tsv	522696445	8xyJbg==	—	11	1787626316878619	2026-08-25T02:51:56Z
gwas_AJ_AD_vs_other.filtered.tsv	518694417	jW8RMQ==	—	11	1787626317588429	2026-08-25T02:51:57Z
gwas_AJ_PD_amppd_vs_control_amppd.filtered.tsv	532782011	Nu7bpA==	—	11	1787626318329710	2026-08-25T02:51:58Z
gwas_AJ_PD_vs_AD.filtered.tsv	10854578	xUCNAg==	T/Kf2eCUX+9jFoRDBIJCiw==	1	1787626310203181	2026-08-25T02:51:50Z
gwas_AJ_PD_vs_DLB.filtered.tsv	523755495	cqISMw==	—	11	1787626314016463	2026-08-25T02:51:54Z
gwas_AJ_PD_vs_control.filtered.tsv	532487704	9sHZJw==	—	11	1787626313346502	2026-08-25T02:51:53Z
gwas_AJ_PD_vs_other.filtered.tsv	519752133	2p3+Sw==	—	11	1787626314422791	2026-08-25T02:51:54Z
gwas_AJ_control_amppd_vs_control_ampad.filtered.tsv	416780362	7digsQ==	—	9	1787626317847501	2026-08-25T02:51:57Z
gwas_AMR_AD_vs_control.filtered.tsv	534504984	IjU29A==	—	11	1787626315107458	2026-08-25T02:51:55Z
gwas_AMR_AD_vs_other.filtered.tsv	535007153	ByAcRQ==	—	11	1787626306662341	2026-08-25T02:51:46Z
gwas_AMR_PD_amppd_vs_control_amppd.filtered.tsv	526873828	BO1RRg==	—	11	1787626314783858	2026-08-25T02:51:54Z
gwas_AMR_PD_vs_AD.filtered.tsv	530776874	9avVWQ==	—	11	1787626315889551	2026-08-25T02:51:55Z
gwas_AMR_PD_vs_control.filtered.tsv	526463803	xzXDrw==	—	11	1787626315636604	2026-08-25T02:51:55Z
gwas_AMR_PD_vs_other.filtered.tsv	532279889	qChqVw==	—	11	1787626316211605	2026-08-25T02:51:56Z
gwas_CAH_AD_vs_control.filtered.tsv	572818731	xTwFwA==	—	12	1787626309430038	2026-08-25T02:51:49Z
