generation,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
before,AJ,0.9835593441051456,0.00588309372750459,0.003851300007914235,0.0009632552824319418,0.006736258182455904,0.0056517600094330885,0.0017267751120175264,0.0016006279477132183,0.0017445718501572097,0.0064472381097147044
before,EUR,0.07977208669730633,0.7569880232497246,0.155412125673747,0.007760873486244287,0.003977395684767301,0.003287868223170821,0.03830708700819164,0.025477491335590012,0.007834536239773447,0.0061665283528196555
before,AMR,0.07394464993020669,0.1318928146566918,0.07721619177827777,0.013877892126146945,0.054469270465456576,0.030051872658384896,0.06234497222128584,0.2029500618493818,0.1260619738050377,0.017667007725614102
before,AFR,0.7083795507648541,0.40006170761360116,0.008528652321301467,0.26667266207970897,0.02754981960946655,0.004849960537897432,0.04295351530334389,0.010961866135717467,0.025514776596324278,0.017994886819353437
before,AAC,0.07327805670478173,0.8772196975691592,0.016486868905291583,0.0064528403731459695,0.0014930851487961788,0.0544223325051275,0.025416536212901172,0.01985389938304176,0.14185232536805245,0.011858243906038485
before,CAH,0.020874842917332544,0.10364564890504357,0.10660898290283498,0.3091449752622575,0.041933847732146846,0.098065984863406,0.12286282723052998,0.016418516458754515,0.0034412453882346422,0.02406277140974626
after,AJ,0.9618559918884054,0.014970900042671507,0.003997494409879203,0.0009936203469072566,0.006854620392523575,0.006253473391719619,0.001504514716409829,0.0017201996658770642,0.0019053806697218463,0.007126172983659013
after,EUR,0.03215844783414172,0.01133984632591266,0.007641373456932674,0.010458712251514244,0.03416723723440776,0.035832590966243714,0.025450247555517138,0.007378717853439027,0.01568075286237747,0.016218460473532325
after,AMR,0.07367835505552976,0.1287041408013573,0.07193649688066366,0.013723127778284702,0.04275579713057461,0.027440233860507115,0.054663423216608074,0.17039602489481992,0.12698376724445962,0.01977863305089692
after,AFR,0.7129049635401637,0.36908068315413456,0.005620239834107225,0.07350250673498329,0.007440723238003002,0.050308932674354455,0.0843634806574058,0.01420615342021686,0.032671957511643035,0.029874251043573347
after,AAC,0.07300609055957814,0.8763125349538551,0.017235093341945243,0.00584425346043627,0.0008706987743451593,0.027826979701863853,0.02561544005279626,0.006635225620096597,0.06560654165967278,0.009658839025539405
after,CAH,0.020959534210489426,0.08574129732692704,0.09727537370391143,0.1991542607189906,0.020285732927848077,0.12283031352141044,0.0537119701079948,0.07679338739522983,0.00365745015799004,0.017490215962229633
